nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity,        pressure
69,7.19E-02,2.31E-02,2.51E-02,3.85E-01,-8.14E-04,-2.78E-05,-7.54E-04
70,7.40E-02,2.12E-02,2.75E-02,3.77E-01,-2.49E-03,2.52E-18,-9.30E-05
71,7.40E-02,2.11E-02,2.69E-02,3.77E-01,-2.61E-03,-4.86E-05,0.00E+00
72,7.32E-02,2.18E-02,2.75E-02,3.81E-01,-1.88E-03,3.56E-18,-3.59E-04
73,7.35E-02,2.12E-02,2.75E-02,3.77E-01,-2.58E-03,2.53E-18,-2.82E-04
74,7.32E-02,2.18E-02,2.67E-02,3.81E-01,-1.90E-03,-2.60E-05,-3.39E-04
75,7.33E-02,2.16E-02,2.66E-02,3.80E-01,-2.04E-03,-3.29E-05,-3.03E-04
76,7.36E-02,2.11E-02,2.70E-02,3.77E-01,-2.53E-03,-4.57E-05,-2.17E-04
77,7.40E-02,2.01E-02,2.65E-02,3.70E-01,-3.48E-03,-7.59E-05,0.00E+00
78,7.40E-02,2.01E-02,2.54E-02,3.69E-01,-3.58E-03,-6.03E-05,0.00E+00
79,7.40E-02,2.09E-02,2.50E-02,3.75E-01,-2.83E-03,-5.31E-05,0.00E+00
80,7.32E-02,2.02E-02,2.65E-02,3.72E-01,-3.37E-03,-6.21E-05,-3.37E-04
81,7.30E-02,2.07E-02,2.63E-02,3.76E-01,-2.96E-03,-6.18E-05,-3.99E-04
82,7.33E-02,2.10E-02,2.51E-02,3.76E-01,-2.75E-03,-5.39E-05,-3.06E-04
83,7.34E-02,2.08E-02,2.49E-02,3.75E-01,-2.92E-03,-5.05E-05,-2.64E-04
84,7.36E-02,2.01E-02,2.54E-02,3.69E-01,-3.56E-03,-5.89E-05,-2.39E-04
85,7.32E-02,2.01E-02,2.65E-02,3.71E-01,-3.50E-03,-5.99E-05,-3.12E-04
86,7.40E-02,2.16E-02,2.33E-02,3.79E-01,-2.08E-03,-5.80E-05,0.00E+00
87,7.40E-02,2.09E-02,2.36E-02,3.75E-01,-2.87E-03,-5.71E-05,0.00E+00
88,7.30E-02,2.09E-02,2.44E-02,3.75E-01,-2.85E-03,-4.70E-05,-3.82E-04
89,7.29E-02,2.10E-02,2.45E-02,3.77E-01,-2.71E-03,-4.95E-05,-4.24E-04
90,7.36E-02,2.09E-02,2.36E-02,3.75E-01,-2.78E-03,-6.12E-05,-2.28E-04
91,7.28E-02,2.16E-02,2.43E-02,3.80E-01,-2.13E-03,-5.78E-05,-4.58E-04
92,7.32E-02,2.21E-02,2.37E-02,3.81E-01,-1.67E-03,-4.98E-05,-3.56E-04
93,7.37E-02,2.16E-02,2.33E-02,3.79E-01,-2.21E-03,-6.17E-05,-2.29E-04
94,7.23E-02,2.10E-02,2.44E-02,3.76E-01,-2.90E-03,-5.10E-05,-5.70E-04
95,7.23E-02,2.10E-02,2.44E-02,3.76E-01,-2.86E-03,-4.97E-05,-6.30E-04
96,7.18E-02,2.08E-02,2.54E-02,3.77E-01,-2.90E-03,-4.72E-05,-8.22E-04
97,7.20E-02,2.07E-02,2.60E-02,3.75E-01,-2.97E-03,-5.99E-05,-7.64E-04
98,7.24E-02,2.06E-02,2.64E-02,3.75E-01,-3.05E-03,-6.39E-05,-5.80E-04
99,7.23E-02,2.08E-02,2.65E-02,3.76E-01,-2.89E-03,-6.78E-05,-6.50E-04
100,7.23E-02,2.15E-02,2.68E-02,3.81E-01,-2.19E-03,-4.42E-05,-6.42E-04
101,7.20E-02,2.09E-02,2.64E-02,3.78E-01,-2.75E-03,-6.12E-05,-7.64E-04
102,7.23E-02,2.10E-02,2.44E-02,3.77E-01,-2.73E-03,-5.03E-05,-6.41E-04
103,7.22E-02,2.13E-02,2.44E-02,3.80E-01,-2.42E-03,-5.10E-05,-6.81E-04
104,7.21E-02,2.18E-02,2.66E-02,3.82E-01,-1.85E-03,-3.30E-05,-7.21E-04
105,7.21E-02,2.16E-02,2.67E-02,3.81E-01,-2.11E-03,-4.03E-05,-7.08E-04
106,7.15E-02,2.19E-02,2.50E-02,3.82E-01,-1.90E-03,-3.73E-05,-9.28E-04
107,7.15E-02,2.19E-02,2.51E-02,3.83E-01,-1.80E-03,-3.71E-05,-9.14E-04
108,7.15E-02,2.19E-02,2.50E-02,3.82E-01,-1.87E-03,-3.81E-05,-9.14E-04
109,7.15E-02,2.19E-02,2.50E-02,3.83E-01,-1.78E-03,-3.75E-05,-9.07E-04
110,7.12E-02,2.40E-02,2.70E-02,3.87E-01,2.28E-16,2.68E-06,-1.06E-03
111,7.12E-02,2.40E-02,2.75E-02,3.87E-01,-1.70E-04,3.82E-06,-1.02E-03
112,7.11E-02,2.34E-02,2.75E-02,3.86E-01,-6.63E-04,-4.97E-19,-1.07E-03
113,7.18E-02,2.30E-02,2.75E-02,3.85E-01,-9.32E-04,2.40E-19,-7.82E-04
114,7.12E-02,2.35E-02,2.71E-02,3.86E-01,-4.69E-04,6.18E-06,-1.04E-03
115,7.14E-02,2.33E-02,2.69E-02,3.86E-01,-6.34E-04,-1.79E-06,-9.34E-04
116,7.18E-02,2.30E-02,2.71E-02,3.85E-01,-8.64E-04,-1.34E-06,-8.06E-04
117,7.18E-02,2.18E-02,2.75E-02,3.82E-01,-1.85E-03,-9.33E-19,-8.41E-04
118,7.21E-02,2.16E-02,2.75E-02,3.80E-01,-2.29E-03,6.37E-19,-6.28E-04
119,7.18E-02,2.18E-02,2.70E-02,3.82E-01,-1.95E-03,-3.01E-05,-8.22E-04
120,7.18E-02,2.20E-02,2.68E-02,3.83E-01,-1.73E-03,-2.42E-05,-8.22E-04
121,7.40E-02,2.19E-02,2.22E-02,3.80E-01,-1.86E-03,-4.13E-05,0.00E+00
122,7.40E-02,2.30E-02,2.21E-02,3.83E-01,-9.15E-04,-1.32E-05,0.00E+00
123,7.28E-02,2.25E-02,2.31E-02,3.83E-01,-1.39E-03,-4.07E-05,-4.71E-04
124,7.33E-02,2.21E-02,2.22E-02,3.81E-01,-1.75E-03,-3.23E-05,-3.09E-04
125,7.34E-02,2.30E-02,2.21E-02,3.83E-01,-9.41E-04,-1.49E-05,-2.66E-04
126,7.32E-02,2.34E-02,2.26E-02,3.84E-01,-6.08E-04,-1.83E-05,-3.70E-04
127,7.28E-02,2.30E-02,2.31E-02,3.84E-01,-9.26E-04,-3.39E-05,-4.81E-04
128,7.34E-02,2.19E-02,2.22E-02,3.80E-01,-1.91E-03,-4.00E-05,-2.69E-04
129,7.15E-02,2.29E-02,2.49E-02,3.85E-01,-9.55E-04,-2.22E-05,-9.36E-04
130,7.20E-02,2.14E-02,2.41E-02,3.80E-01,-2.37E-03,-4.70E-05,-7.84E-04
131,7.13E-02,2.19E-02,2.42E-02,3.82E-01,-1.96E-03,-4.11E-05,-1.01E-03
132,7.21E-02,2.24E-02,2.31E-02,3.83E-01,-1.48E-03,-4.72E-05,-6.94E-04
133,7.15E-02,2.29E-02,2.31E-02,3.84E-01,-1.11E-03,-4.69E-05,-8.25E-04
134,7.14E-02,2.35E-02,2.37E-02,3.86E-01,-4.80E-04,-2.04E-05,-9.45E-04
135,7.11E-02,2.32E-02,2.40E-02,3.86E-01,-6.81E-04,-2.11E-05,-1.04E-03
136,7.12E-02,2.31E-02,2.33E-02,3.85E-01,-7.74E-04,-3.74E-05,-1.00E-03
137,7.13E-02,2.30E-02,2.31E-02,3.85E-01,-9.44E-04,-4.52E-05,-9.76E-04
138,7.10E-02,2.30E-02,2.37E-02,3.85E-01,-8.73E-04,-3.30E-05,-1.08E-03
139,7.11E-02,2.26E-02,2.37E-02,3.85E-01,-1.28E-03,-5.35E-05,-1.06E-03
140,7.40E-02,2.34E-02,2.11E-02,3.83E-01,-7.27E-04,7.72E-06,0.00E+00
141,7.40E-02,2.40E-02,2.11E-02,3.84E-01,-1.39E-16,1.75E-05,-1.05E-04
142,7.33E-02,2.40E-02,2.11E-02,3.84E-01,-9.64E-17,1.46E-05,-3.45E-04
143,7.29E-02,2.40E-02,2.21E-02,3.84E-01,-2.43E-16,-5.93E-06,-4.62E-04
144,7.28E-02,2.37E-02,2.21E-02,3.84E-01,-3.74E-04,-7.10E-06,-4.83E-04
145,7.32E-02,2.33E-02,2.15E-02,3.83E-01,-6.73E-04,-8.84E-07,-3.52E-04
146,7.34E-02,2.35E-02,2.11E-02,3.84E-01,-5.01E-04,1.33E-05,-2.69E-04
147,7.17E-02,2.40E-02,2.20E-02,3.85E-01,-1.41E-16,-2.40E-05,-8.39E-04
148,7.12E-02,2.40E-02,2.28E-02,3.86E-01,-4.75E-16,-2.88E-05,-1.06E-03
149,7.14E-02,2.40E-02,2.37E-02,3.86E-01,-9.33E-16,-1.47E-05,-9.67E-04
150,7.12E-02,2.32E-02,2.27E-02,3.85E-01,-7.48E-04,-4.28E-05,-1.01E-03
151,7.18E-02,2.37E-02,2.20E-02,3.85E-01,-3.78E-04,-2.26E-05,-8.05E-04
152,7.13E-02,2.30E-02,2.30E-02,3.85E-01,-9.37E-04,-4.39E-05,-9.77E-04
153,7.11E-02,2.33E-02,2.29E-02,3.86E-01,-5.98E-04,-3.87E-05,-1.06E-03
154,7.01E-02,2.40E-02,2.66E-02,3.87E-01,2.11E-16,5.93E-06,-1.41E-03
155,7.09E-02,2.40E-02,2.53E-02,3.87E-01,-2.25E-16,-9.41E-06,-1.15E-03
156,7.02E-02,2.40E-02,2.59E-02,3.87E-01,2.63E-16,-6.83E-06,-1.44E-03
157,7.01E-02,2.36E-02,2.66E-02,3.87E-01,-3.36E-04,4.18E-06,-1.43E-03
158,7.07E-02,2.32E-02,2.69E-02,3.86E-01,-6.51E-04,5.50E-06,-1.23E-03
159,7.10E-02,2.30E-02,2.66E-02,3.86E-01,-8.28E-04,-3.52E-06,-1.11E-03
160,7.09E-02,2.32E-02,2.55E-02,3.86E-01,-7.97E-04,-1.18E-05,-1.17E-03
161,7.08E-02,2.33E-02,2.54E-02,3.86E-01,-7.07E-04,-1.08E-05,-1.22E-03
162,7.02E-02,2.36E-02,2.59E-02,3.87E-01,-3.16E-04,-6.43E-06,-1.42E-03
163,7.09E-02,2.33E-02,2.53E-02,3.86E-01,-5.63E-04,-1.04E-05,-1.14E-03
164,7.10E-02,2.32E-02,2.54E-02,3.86E-01,-6.54E-04,-1.14E-05,-1.09E-03
165,7.07E-02,2.40E-02,2.43E-02,3.87E-01,-7.86E-16,-9.35E-06,-1.22E-03
166,7.07E-02,2.35E-02,2.44E-02,3.86E-01,-4.10E-04,-9.80E-06,-1.21E-03
167,7.09E-02,2.23E-02,2.65E-02,3.84E-01,-1.48E-03,-2.26E-05,-1.12E-03
168,7.09E-02,2.23E-02,2.56E-02,3.84E-01,-1.54E-03,-3.26E-05,-1.13E-03
169,7.40E-02,1.93E-02,2.69E-02,3.59E-01,-4.30E-03,-3.38E-05,0.00E+00
170,7.40E-02,1.94E-02,2.75E-02,3.59E-01,-4.23E-03,0.00E+00,-1.16E-04
171,7.31E-02,2.02E-02,2.75E-02,3.71E-01,-3.38E-03,-1.35E-18,-3.64E-04
172,7.34E-02,1.94E-02,2.75E-02,3.60E-01,-4.21E-03,-2.72E-18,-3.36E-04
173,7.32E-02,2.01E-02,2.65E-02,3.70E-01,-3.60E-03,-6.81E-05,-3.42E-04
174,7.31E-02,2.02E-02,2.66E-02,3.71E-01,-3.49E-03,-6.95E-05,-3.62E-04
175,7.35E-02,1.94E-02,2.70E-02,3.60E-01,-4.22E-03,-3.14E-05,-2.69E-04
176,7.24E-02,2.03E-02,2.75E-02,3.74E-01,-3.18E-03,-2.82E-18,-6.13E-04
177,7.26E-02,2.02E-02,2.66E-02,3.72E-01,-3.40E-03,-7.58E-05,-5.15E-04
178,7.23E-02,2.03E-02,2.69E-02,3.73E-01,-3.29E-03,-8.16E-05,-6.31E-04
179,7.40E-02,1.84E-02,2.65E-02,3.42E-01,-5.17E-03,6.70E-06,0.00E+00
180,7.40E-02,1.84E-02,2.54E-02,3.40E-01,-5.29E-03,-2.58E-05,0.00E+00
181,7.40E-02,1.92E-02,2.49E-02,3.57E-01,-4.48E-03,-4.05E-05,0.00E+00
182,7.30E-02,1.96E-02,2.64E-02,3.64E-01,-4.15E-03,-8.91E-05,-4.36E-04
183,7.32E-02,1.90E-02,2.51E-02,3.53E-01,-4.74E-03,-3.32E-05,-3.93E-04
184,7.34E-02,1.93E-02,2.49E-02,3.57E-01,-4.47E-03,-3.46E-05,-3.29E-04
185,7.36E-02,1.84E-02,2.54E-02,3.40E-01,-5.25E-03,-2.79E-05,-2.72E-04
186,7.33E-02,1.90E-02,2.68E-02,3.55E-01,-4.61E-03,-3.86E-05,-3.54E-04
187,7.36E-02,1.84E-02,2.64E-02,3.41E-01,-5.19E-03,3.22E-06,-2.48E-04
188,7.40E-02,1.92E-02,2.39E-02,3.57E-01,-4.54E-03,-1.94E-05,0.00E+00
189,7.40E-02,2.02E-02,2.33E-02,3.68E-01,-3.71E-03,-4.35E-05,0.00E+00
190,7.29E-02,2.07E-02,2.42E-02,3.74E-01,-3.03E-03,-4.27E-05,-4.16E-04
191,7.29E-02,1.93E-02,2.42E-02,3.60E-01,-4.42E-03,-1.88E-05,-3.98E-04
192,7.30E-02,1.92E-02,2.43E-02,3.56E-01,-4.61E-03,-1.60E-05,-3.96E-04
193,7.34E-02,2.07E-02,2.35E-02,3.74E-01,-3.07E-03,-5.15E-05,-2.76E-04
194,7.36E-02,2.02E-02,2.33E-02,3.69E-01,-3.58E-03,-4.62E-05,-2.35E-04
195,7.31E-02,1.93E-02,2.38E-02,3.59E-01,-4.44E-03,-1.84E-05,-3.24E-04
196,7.33E-02,1.91E-02,2.39E-02,3.55E-01,-4.63E-03,-1.60E-05,-3.19E-04
197,7.18E-02,1.98E-02,2.43E-02,3.67E-01,-3.93E-03,-3.05E-05,-8.19E-04
198,7.23E-02,1.92E-02,2.43E-02,3.58E-01,-4.60E-03,-1.69E-05,-5.66E-04
199,7.15E-02,2.00E-02,2.53E-02,3.69E-01,-3.76E-03,-3.75E-05,-9.41E-04
200,7.16E-02,2.05E-02,2.55E-02,3.75E-01,-3.19E-03,-4.79E-05,-8.89E-04
201,7.20E-02,1.92E-02,2.57E-02,3.59E-01,-4.47E-03,-4.10E-05,-7.27E-04
202,7.26E-02,1.88E-02,2.46E-02,3.51E-01,-5.00E-03,-1.08E-05,-5.61E-04
203,7.26E-02,1.88E-02,2.47E-02,3.50E-01,-5.02E-03,-1.06E-05,-5.79E-04
204,7.25E-02,1.96E-02,2.64E-02,3.65E-01,-4.06E-03,-8.02E-05,-5.41E-04
205,7.40E-02,1.99E-02,2.22E-02,3.64E-01,-4.03E-03,-7.80E-05,0.00E+00
206,7.40E-02,2.04E-02,2.15E-02,3.70E-01,-3.48E-03,-7.45E-05,0.00E+00
207,7.40E-02,2.13E-02,2.15E-02,3.77E-01,-2.42E-03,-3.40E-05,0.00E+00
208,7.33E-02,1.99E-02,2.23E-02,3.66E-01,-3.91E-03,-8.74E-05,-3.75E-04
209,7.30E-02,2.01E-02,2.20E-02,3.69E-01,-3.64E-03,-8.61E-05,-4.49E-04
210,7.29E-02,2.09E-02,2.25E-02,3.76E-01,-2.83E-03,-5.89E-05,-4.39E-04
211,7.35E-02,2.13E-02,2.15E-02,3.77E-01,-2.48E-03,-3.72E-05,-2.62E-04
212,7.33E-02,2.04E-02,2.15E-02,3.71E-01,-3.38E-03,-7.41E-05,-3.48E-04
213,7.32E-02,2.18E-02,2.21E-02,3.80E-01,-2.04E-03,-3.98E-05,-3.16E-04
214,7.20E-02,2.11E-02,2.39E-02,3.79E-01,-2.63E-03,-4.77E-05,-7.65E-04
215,7.22E-02,2.10E-02,2.26E-02,3.77E-01,-2.71E-03,-5.28E-05,-6.67E-04
216,7.22E-02,2.18E-02,2.25E-02,3.81E-01,-2.01E-03,-4.98E-05,-6.48E-04
217,7.31E-02,2.19E-02,2.21E-02,3.81E-01,-1.88E-03,-3.33E-05,-3.52E-04
218,7.15E-02,1.97E-02,2.75E-02,3.66E-01,-3.99E-03,-5.68E-18,-8.30E-04
219,7.07E-02,2.14E-02,2.75E-02,3.81E-01,-2.38E-03,-7.08E-19,-1.14E-03
220,7.08E-02,2.00E-02,2.75E-02,3.71E-01,-3.58E-03,-1.72E-18,-1.14E-03
221,7.08E-02,2.14E-02,2.71E-02,3.81E-01,-2.32E-03,-4.56E-05,-1.16E-03
222,7.09E-02,2.06E-02,2.68E-02,3.77E-01,-3.10E-03,-7.22E-05,-1.13E-03
223,7.15E-02,1.97E-02,2.73E-02,3.66E-01,-3.97E-03,-2.86E-05,-8.85E-04
224,7.08E-02,2.00E-02,2.72E-02,3.69E-01,-3.75E-03,-1.94E-05,-1.09E-03
225,7.13E-02,2.04E-02,2.34E-02,3.73E-01,-3.35E-03,-3.70E-05,-9.92E-04
226,7.16E-02,1.97E-02,2.41E-02,3.66E-01,-4.03E-03,-2.82E-05,-8.98E-04
227,7.19E-02,1.92E-02,2.39E-02,3.59E-01,-4.58E-03,-2.15E-05,-7.62E-04
228,7.21E-02,1.93E-02,2.25E-02,3.61E-01,-4.48E-03,-5.03E-05,-6.47E-04
229,7.29E-02,1.94E-02,2.23E-02,3.61E-01,-4.52E-03,-5.57E-05,-4.49E-04
230,7.29E-02,1.94E-02,2.22E-02,3.62E-01,-4.37E-03,-7.84E-05,-4.62E-04
231,7.28E-02,2.00E-02,2.19E-02,3.67E-01,-3.82E-03,-8.64E-05,-5.14E-04
232,7.17E-02,2.02E-02,2.22E-02,3.70E-01,-3.62E-03,-2.69E-05,-8.17E-04
233,7.15E-02,2.04E-02,2.24E-02,3.72E-01,-3.38E-03,-2.68E-05,-8.90E-04
234,7.02E-02,2.18E-02,2.55E-02,3.83E-01,-2.00E-03,-3.74E-05,-1.41E-03
235,6.94E-02,2.23E-02,2.52E-02,3.86E-01,-1.60E-03,-1.73E-05,-1.74E-03
236,6.93E-02,2.25E-02,2.51E-02,3.86E-01,-1.34E-03,-1.49E-05,-1.76E-03
237,6.94E-02,2.30E-02,2.51E-02,3.87E-01,-9.51E-04,-1.41E-05,-1.70E-03
238,6.96E-02,2.34E-02,2.43E-02,3.87E-01,-5.57E-04,-1.65E-05,-1.62E-03
239,6.93E-02,2.31E-02,2.50E-02,3.87E-01,-8.71E-04,-1.75E-05,-1.78E-03
240,7.02E-02,2.15E-02,2.53E-02,3.82E-01,-2.25E-03,-3.60E-05,-1.40E-03
241,6.96E-02,2.14E-02,2.46E-02,3.82E-01,-2.44E-03,-2.37E-05,-1.64E-03
242,6.97E-02,2.14E-02,2.40E-02,3.82E-01,-2.20E-03,-3.27E-05,-1.55E-03
243,7.03E-02,2.16E-02,2.38E-02,3.82E-01,-2.13E-03,-4.78E-05,-1.31E-03
244,6.92E-02,2.29E-02,2.49E-02,3.87E-01,-1.01E-03,-1.90E-05,-1.82E-03
245,6.93E-02,2.29E-02,2.42E-02,3.87E-01,-9.97E-04,-2.93E-05,-1.75E-03
246,6.96E-02,2.32E-02,2.41E-02,3.87E-01,-7.05E-04,-2.37E-05,-1.64E-03
247,7.01E-02,2.18E-02,2.68E-02,3.83E-01,-2.02E-03,-4.38E-05,-1.36E-03
248,7.00E-02,2.17E-02,2.67E-02,3.83E-01,-2.12E-03,-5.43E-05,-1.43E-03
249,7.02E-02,2.06E-02,2.56E-02,3.76E-01,-3.19E-03,-4.64E-05,-1.36E-03
250,7.01E-02,2.06E-02,2.63E-02,3.77E-01,-3.13E-03,-6.27E-05,-1.39E-03
251,7.07E-02,2.03E-02,2.57E-02,3.73E-01,-3.48E-03,-5.09E-05,-1.20E-03
252,7.05E-02,2.03E-02,2.65E-02,3.74E-01,-3.38E-03,-6.77E-05,-1.25E-03
253,7.08E-02,1.99E-02,2.54E-02,3.69E-01,-3.85E-03,-4.23E-05,-1.16E-03
254,6.98E-02,2.04E-02,2.50E-02,3.76E-01,-3.43E-03,-3.17E-05,-1.53E-03
255,7.02E-02,1.97E-02,2.46E-02,3.67E-01,-4.29E-03,-1.91E-05,-1.35E-03
256,7.02E-02,1.97E-02,2.41E-02,3.69E-01,-4.18E-03,-9.56E-06,-1.37E-03
257,7.02E-02,1.96E-02,2.42E-02,3.66E-01,-4.37E-03,-1.18E-05,-1.32E-03
258,6.95E-02,2.11E-02,2.45E-02,3.80E-01,-2.82E-03,-2.11E-05,-1.67E-03
